rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260712,600584.SH,research,C,long,HBM3先进封装X-DFOI，国产算力扩产先进封装环节,,周末投研0712
20260712,002156.SZ,research,C,long,HBM3封装+AMD底盘，国产算力扩产先进封装环节,,周末投研0712
20260712,002371.SZ,research,C,long,PVD/CVD刻蚀主供，国产算力扩产前道设备环节,,周末投研0712
20260712,688072.SH,research,C,long,DRAM High-k ALD/PECVD近垄断，国产算力扩产前道设备环节,,周末投研0712
20260712,688120.SH,research,C,long,CMP设备，堆叠升级抛光频次指数增，国产算力扩产前道设备环节,,周末投研0712
20260712,002409.SZ,research,C,long,前驱体+光刻胶，HBM3耗量3倍，国产算力扩产材料环节,,周末投研0712
20260712,300655.SZ,research,C,long,KrF/ArF光刻胶二供，国产算力扩产材料环节,,周末投研0712
20260712,603650.SH,research,C,long,光刻胶二供，国产算力扩产材料环节,,周末投研0712
20260712,300666.SZ,research,C,long,高纯靶材配套长鑫长存，国产算力扩产材料环节,,周末投研0712
20260712,600206.SH,research,C,long,靶材，国产算力扩产材料环节,,周末投研0712
20260712,688548.SH,research,C,long,现场制气10-15年排他长单，国产算力扩产材料环节,,周末投研0712
20260712,300395.SZ,research,C,long,石英件，三大国际设备商认证唯一，国产算力扩产材料环节,,周末投研0712
20260712,001309.SZ,research,C,long,长鑫DDR5优先供货模组，国产算力扩产存储配套环节,,周末投研0712
20260712,603019.SH,research,C,long,超算超节点标杆，国产算力昇腾生态服务器环节,,周末投研0712
20260712,000977.SZ,research,C,long,AI服务器龙头，国产算力昇腾生态服务器环节,,周末投研0712
20260712,000938.SZ,research,C,long,新华三高端交换机，国产算力昇腾生态交换机环节,,周末投研0712
20260712,002396.SZ,research,C,long,超节点交换机，国产算力昇腾生态交换机环节,,周末投研0712
20260712,688629.SH,research,C,long,昇腾高速连接器12G市占60%+，国产算力昇腾生态连接器环节,,周末投研0712
20260712,002837.SZ,research,C,long,昇腾液冷龙头，国产算力昇腾生态液冷环节,,周末投研0712
20260712,301018.SZ,research,C,long,液冷精密空调，国产算力昇腾生态液冷环节,,周末投研0712
20260712,300308.SZ,research,C,reduce,频遭小作文冲击(业绩暴雷/供应商资格等极端假设)，真伪待验但筹码结构已受扰动，高估值高拥挤脆弱性显现,,周末投研0712
