rec_date,theme,source_type,direction,thesis,valid_until
20260623,光模块,research,long,"AI算力核心;财报季有业绩;迭代光模块→NPO→CPO,优先做有业绩的""光""",
20260623,CPO,research,long,"光模块下一代(共封装);玻璃基板用于超高端,增量非替代",
20260623,光纤光棒,research,long,"含""光""主线;光棒→MPO/MPU升级,每个光模块需配MPU(有业绩)",
20260623,光芯片,research,long,光产业链;光模块/光纤/光棒/光芯片/光学检测设备,
20260623,固态变压器,research,long,"800V高压平台主升;麦格米特/中国西电引领,中军+弹性分层",
20260623,固态断路器,research,long,"SST配套;一台SST配五六十套,量价齐升",
20260623,昇腾910,research,long,"华为昇腾910下半年量产,算力成本降;盯产量与良率",
20260623,MLCC,research,long,顺延逻辑:MLCC→电阻→功率半导体→日系材料替代(设备→材料),
20260623,MicroLED,research,long,"补涨扩散;复合概念(+CPO/+PCB/+液冷/+稀缺材料),近期有涨停",
20260623,创业板ETF,research,long,"优先做ETF,含""光""量高;等回踩10日线甚至跌穿再介入",
20260623,通信ETF,research,long,"优先做ETF,含""光""量最高(515050);等回调",
20260623,老消费,research,avoid,"K型分化未结束;碳基消费无反转逻辑,资金不会回流",
20260623,题材概念,research,avoid,"财报季避无业绩纯题材(人工钻石/玻璃基板/金刚石),搞有业绩的光",
